,mean,std,median,min_val,max_val
KNN_Accuracy_metrics,0.8260985720865961,0.003719182960277711,0.8261169967756794,0.8174420389989252,0.8375556579149394
KNN_Class0_values_metrics,0.9084581786782298,0.004020090132944238,0.9088418549973372,0.896952686447474,0.9188094756023486
KNN_Class1_values_metrics,0.5679568308610403,0.010204217011451477,0.5667797597902056,0.545224541429475,0.5954151177199505
LS_Accuracy_metrics,0.8342653155228006,0.0047296642516212834,0.8344081068631967,0.8215875940426839,0.8464609243052357
LS_Class0_values_metrics,0.944766837553416,0.004206383028844372,0.9444438709804268,0.93175905543326,0.9599018003273322
LS_Class1_values_metrics,0.48551934522374895,0.012482227473522768,0.484291100217233,0.45795523290986084,0.518664047151277
QD_Accuracy_metrics,0.7712498080761556,0.018559011560825605,0.771994472593275,0.6250575771533855,0.8076155381544603
QD_Class0_values_metrics,0.7550727707057425,0.02717454444449987,0.7513393078643325,0.6145601617795753,0.8398785425101215
QD_Class1_values_metrics,0.8224681095174919,0.04588651275409127,0.8353560525799795,0.5567398119122257,0.8738853503184714
QD_v1_Accuracy_metrics,0.7468294180869032,0.004793690592235428,0.7468140641793336,0.7356057116536159,0.760325502840473
QD_v1_Class0_values_metrics,0.7124333783953007,0.006005973268807253,0.7124380894524054,0.6978620411456232,0.7256958450988302
QD_v1_Class1_values_metrics,0.8553736440016821,0.008066254554792054,0.8544001730151995,0.8379599741768883,0.876844130853111
QD_v2_Accuracy_metrics,0.8046737294641488,0.025557341022084023,0.808152924919392,0.5645631813296484,0.8206663595885153
QD_v2_Class0_values_metrics,0.9760362205398917,0.04028972500066975,0.9830285802597796,0.6037277147487844,0.9900568181818182
QD_v2_Class1_values_metrics,0.26392095670267773,0.036597878042364675,0.25559027064733053,0.1879021879021879,0.4419784400760938
QD_v3_lambZero_Accuracy_metrics,0.7688146783356363,0.023254103005719406,0.7721480116689698,0.5889758943651159,0.803930600337786
QD_v3_lambZero_Class0_values_metrics,0.751762868154911,0.02641125402975428,0.7504529446859549,0.6002028397565923,0.8598790322580645
QD_v3_lambZero_Class1_values_metrics,0.8226325563930069,0.058554889262075915,0.8376928767702388,0.5121483375959079,0.8683886838868389
QD_v3_lambOne_Accuracy_metrics,0.8062567173345618,0.016561755217654267,0.8083832335329342,0.6490096729617688,0.8237371411024106
QD_v3_lambOne_Class0_values_metrics,0.9801676019940089,0.023186179395790017,0.9835352951713678,0.7568825910931174,0.9920286966919091
QD_v3_lambOne_Class1_values_metrics,0.2581359700397689,0.027104904095462467,0.2541388064867304,0.16856187290969898,0.37282678686413395
